job_id,role_id,industry_id,country_id,year_id,education_requirement_level,automation_risk_percent,ai_replacement_score,skill_gap_index,salary_before_usd,salary_after_usd,salary_change_percent,skill_demand_growth_percent,remote_feasibility_score,ai_adoption_level
143,4,7,2,2,1,39.83,39.06,16.36,125377.15,112573.22,-10.21,12.08,17.41,68.05
144,2,8,6,5,2,70.82,64.39,95.09,48126.95,51256.17,6.5,4.01,47.78,63.85
145,10,2,6,7,1,52.83,48.06,98.4,79120.08,77211.42,-2.41,8.52,29.18,3.11
146,3,6,4,4,2,45.62,43.22,86.44,86785.19,89759.54,3.43,9.57,79.38,84.48
147,5,1,6,5,5,63.27,66.47,13.12,33903.14,34569.41,1.97,12.09,81.69,48.15
148,7,8,2,3,3,18.21,15.48,68.56,81636.71,81308.87,-0.4,-9.31,15.78,58.2
149,10,6,3,3,2,43.83,49.05,31.04,84626.42,80798.71,-4.52,-19.24,64.0,29.17
150,3,5,1,1,5,48.65,55.66,77.99,34754.26,31393.61,-9.67,4.52,31.78,98.67
151,1,5,4,6,4,19.97,19.97,61.82,114295.8,111770.27,-2.21,5.27,39.38,51.77
152,5,6,5,7,2,16.15,15.19,3.32,39429.42,35480.09,-10.02,2.19,61.08,68.95
153,5,5,1,2,3,66.04,58.12,16.75,42548.14,48502.14,13.99,14.25,12.84,93.62
154,8,4,3,1,1,5.0,5.08,70.91,134516.29,146558.1,8.95,11.35,40.55,81.48
155,4,6,8,6,4,15.61,18.07,54.76,128075.73,154654.79,20.75,-1.89,57.38,73.16
156,3,7,3,4,4,5.71,4.71,24.71,49145.36,47571.0,-3.2,9.24,97.83,33.69
157,10,1,8,1,3,37.75,42.12,65.87,89783.49,105293.97,17.28,9.36,30.56,99.63
158,10,3,5,4,4,93.24,98.84,19.95,111627.39,108754.36,-2.57,-11.69,88.14,72.72
159,3,7,8,2,5,51.99,50.44,34.59,74524.65,76197.37,2.24,15.47,49.48,72.53
160,5,3,4,1,5,44.07,50.65,90.07,80606.51,85864.66,6.52,-10.76,92.11,21.07
161,9,5,2,4,4,53.61,56.43,73.31,45788.12,48050.19,4.94,7.61,26.17,23.75
162,10,6,7,3,5,93.0,81.13,85.44,89073.34,93915.37,5.44,1.29,50.08,51.48
163,6,7,5,7,2,35.15,36.45,16.35,76929.78,66969.83,-12.95,16.61,79.61,13.09
164,2,6,5,2,2,92.89,91.17,23.61,38819.61,39117.83,0.77,-7.83,40.33,82.89
165,1,3,8,1,4,40.16,36.13,61.71,114813.27,110810.28,-3.49,1.51,13.3,73.64
166,10,2,3,1,2,71.47,70.74,84.42,126680.42,139732.09,10.3,7.39,28.53,11.19
167,5,6,6,1,2,28.88,23.77,53.12,142392.68,152824.94,7.33,4.19,38.45,50.72
168,5,5,7,1,5,12.91,11.09,98.66,145814.24,159175.61,9.16,8.46,50.93,51.56
169,2,4,3,7,2,59.22,63.17,13.97,33596.83,37319.97,11.08,-5.4,28.17,67.34
170,3,7,8,7,3,67.89,56.87,67.26,83250.03,81662.59,-1.91,7.17,72.34,83.81
171,6,6,6,1,4,76.12,81.7,49.72,104141.67,106235.95,2.01,15.51,12.73,93.09
172,5,8,3,5,5,58.27,62.38,21.57,109066.26,126881.48,16.33,-6.46,19.59,65.78
173,10,2,5,5,1,94.96,77.8,97.72,78828.96,81362.18,3.21,9.22,61.03,73.84
174,9,1,3,1,1,71.5,68.75,32.7,110111.21,116689.25,5.97,12.01,81.8,43.56
175,2,7,3,5,1,82.25,69.75,54.45,30691.04,27326.46,-10.96,-9.4,45.66,69.55
176,1,2,2,6,4,37.2,36.44,23.75,74790.21,87070.88,16.42,15.1,65.75,46.35
177,5,4,7,6,4,36.59,41.9,51.91,87501.83,75342.81,-13.9,-11.45,62.22,53.36
178,3,2,1,4,3,42.55,47.06,81.3,116174.77,124991.6,7.59,7.81,31.91,92.7
179,7,3,8,3,4,14.22,16.69,35.16,42170.5,35031.22,-16.93,4.02,35.64,30.73
180,10,6,7,7,5,81.21,82.48,31.13,103240.05,93023.13,-9.9,14.41,47.22,12.19
181,8,2,5,3,3,12.68,13.6,18.14,93019.61,87425.71,-6.01,8.2,61.06,25.66
182,7,3,7,7,5,77.4,76.9,80.6,96027.19,97229.68,1.25,0.71,95.63,60.16
183,8,2,7,1,2,57.34,66.16,22.81,55445.38,47668.58,-14.03,22.5,85.59,90.0
184,4,1,6,6,4,34.74,31.08,78.05,62976.72,61119.23,-2.95,17.48,70.08,9.55
185,8,5,3,5,2,43.67,42.83,58.66,50161.7,53340.84,6.34,9.14,29.51,9.57
186,5,2,6,1,1,11.65,12.32,60.71,95603.69,90273.86,-5.57,-8.7,63.5,49.68
187,6,5,8,3,5,79.14,67.64,69.51,78518.25,91691.27,16.78,-0.54,72.32,99.13
188,8,8,5,2,1,8.99,7.56,72.43,99406.43,95637.66,-3.79,2.96,17.71,89.42
189,10,3,8,4,3,38.43,35.72,22.67,72599.56,72847.0,0.34,-2.7,16.09,80.04
190,4,6,7,7,4,26.36,26.78,88.01,108105.28,86551.95,-19.94,8.74,39.97,66.95
191,10,5,6,5,2,94.59,100.71,55.78,117678.06,109381.62,-7.05,4.44,60.61,95.76
192,9,5,2,6,2,22.27,23.96,20.09,94299.32,93250.47,-1.11,-4.04,78.05,34.76
193,3,6,7,3,5,46.54,52.04,92.72,58157.05,51804.48,-10.92,1.84,99.32,92.7
194,5,7,3,6,3,47.8,54.34,52.1,104830.28,106843.54,1.92,1.91,21.49,82.61
195,6,2,8,4,5,64.74,70.15,3.62,66375.4,61158.37,-7.86,-8.31,17.89,93.7
196,10,1,1,5,5,63.77,58.81,39.7,83664.3,86915.32,3.89,29.93,92.75,49.7
197,9,2,1,7,2,79.45,90.62,20.85,141671.43,142830.71,0.82,4.01,44.26,87.8
198,2,8,4,7,4,85.76,96.26,79.0,66561.5,65396.94,-1.75,-2.56,25.62,69.5
199,8,1,6,6,4,24.23,28.84,64.1,128697.67,128375.58,-0.25,13.18,64.56,76.48
200,9,4,6,1,2,22.24,22.26,39.87,47564.88,44665.74,-6.1,3.13,12.32,13.52
201,4,1,5,7,4,77.42,78.95,96.58,81899.75,82427.79,0.64,-14.75,49.56,10.57
202,3,2,9,6,2,44.86,39.76,61.96,108024.13,105718.43,-2.13,19.91,15.23,99.49
203,9,4,5,4,3,14.04,15.14,98.37,58701.61,55100.84,-6.13,1.98,72.29,6.23
204,7,8,5,7,3,45.66,54.73,81.4,103826.33,113685.2,9.5,-9.85,57.43,42.61
205,4,8,1,6,4,19.15,22.11,44.98,53354.7,47111.6,-11.7,-13.02,84.48,73.36
206,4,7,5,2,3,63.85,51.36,41.62,87761.3,82967.39,-5.46,8.92,58.18,21.52
207,2,3,7,1,1,25.85,23.17,97.59,126184.45,125991.27,-0.15,10.79,19.88,54.8
208,10,4,3,1,1,56.81,64.63,9.81,88588.94,84661.95,-4.43,-3.85,76.36,47.6
209,7,7,3,3,3,36.31,34.78,45.94,124201.99,115891.97,-6.69,15.4,71.93,43.76
210,9,4,4,5,4,27.83,31.62,3.84,138211.44,168027.91,21.57,-1.06,69.34,89.51
211,6,4,8,2,1,54.57,57.05,6.67,92208.96,96450.32,4.6,-1.78,56.1,68.02
212,6,8,4,4,5,12.92,10.77,71.63,38650.12,33443.46,-13.47,-4.72,41.47,77.47
213,1,5,6,6,3,56.3,49.21,17.41,41807.48,46764.61,11.86,12.19,33.85,2.09
214,10,6,9,7,4,30.75,36.51,29.54,122306.78,104917.07,-14.22,20.01,28.51,12.14
215,5,4,5,4,3,53.05,58.88,64.39,93636.26,87610.59,-6.44,14.28,98.2,60.19
216,6,6,7,6,3,50.77,55.81,81.18,108777.43,104807.57,-3.65,-3.39,93.53,22.46
217,10,6,4,4,4,51.05,49.66,43.94,103552.75,101261.61,-2.21,2.23,89.82,64.58
218,3,5,7,5,3,20.01,22.54,86.14,131581.72,129382.7,-1.67,7.83,77.95,46.05
219,6,6,3,1,4,68.94,75.24,77.64,108739.42,110707.84,1.81,-7.97,98.62,93.74
220,5,7,9,5,4,13.02,11.28,13.17,117117.59,110926.56,-5.29,10.86,55.53,84.07
221,5,5,1,2,2,61.3,62.33,59.03,91003.27,96149.59,5.66,-12.61,72.0,87.33
222,6,6,8,6,1,54.54,60.24,16.01,85386.9,83602.11,-2.09,-3.51,82.01,20.4
223,8,6,6,1,5,38.86,42.48,61.6,52562.97,58852.82,11.97,-1.1,59.88,0.52
224,7,4,5,3,3,63.27,51.51,74.57,54297.67,53640.95,-1.21,9.2,39.42,14.89
225,9,4,4,2,5,31.39,36.12,99.63,74197.14,87010.72,17.27,1.0,89.76,59.3
226,7,6,8,3,4,37.41,36.1,69.56,30386.19,25750.3,-15.26,17.63,81.48,9.3
227,5,1,5,4,1,51.17,50.78,64.23,37782.43,43608.9,15.42,25.06,60.46,60.35
228,1,5,7,7,5,57.35,64.35,26.98,129005.93,118450.68,-8.18,4.97,15.27,33.42
229,7,3,7,1,3,64.94,70.34,78.86,92072.29,81560.49,-11.42,3.06,39.54,43.4
230,4,3,6,3,3,16.2,14.39,59.82,118279.57,106165.54,-10.24,23.54,67.26,78.57
231,6,8,1,1,2,18.28,17.62,83.98,76059.95,90394.11,18.85,20.43,26.6,36.22
232,10,7,2,3,5,48.42,39.24,2.42,129803.65,131632.4,1.41,-12.68,36.89,94.07
233,2,3,6,6,3,43.15,41.94,87.27,131032.03,137761.83,5.14,-0.33,51.24,48.3
234,9,3,8,1,1,19.34,16.1,72.79,89575.34,104456.12,16.61,0.43,78.9,15.89
235,5,2,5,1,2,52.72,45.03,75.14,108834.62,107744.6,-1.0,2.96,33.55,24.7
236,4,4,7,4,3,73.44,66.08,27.19,121127.79,139208.4,14.93,2.29,15.88,48.76
237,4,8,8,4,1,12.35,10.19,90.64,46709.44,35385.95,-24.24,13.84,41.26,89.98
238,10,8,3,1,3,26.53,28.27,96.34,97220.18,82029.08,-15.63,-0.29,75.77,98.13
239,2,2,6,2,3,42.96,45.61,19.81,97839.63,102403.16,4.66,4.64,64.77,34.95
240,3,1,2,6,3,7.99,6.87,22.53,60116.0,61321.74,2.01,16.49,57.11,11.48
241,8,8,3,2,1,60.21,65.58,6.77,114940.21,105427.87,-8.28,5.86,51.25,48.47
242,10,3,4,6,5,36.6,43.13,85.0,110282.68,84223.63,-23.63,-5.1,68.59,54.54
243,8,7,1,2,2,5.0,5.03,80.64,85108.79,79611.06,-6.46,-2.99,24.82,33.02
244,6,5,5,7,5,62.97,63.46,20.49,135339.61,131390.25,-2.92,-10.63,98.65,77.2
245,2,5,4,3,2,26.9,22.22,46.39,139106.42,136595.83,-1.8,36.93,19.49,65.68
246,6,7,3,7,2,67.55,64.32,77.56,145737.2,147387.97,1.13,-9.38,35.84,79.29
247,1,6,8,1,1,50.43,53.15,79.79,77516.46,78042.45,0.68,13.53,24.22,69.59
248,1,7,1,7,2,65.53,60.73,85.72,138737.19,134092.61,-3.35,0.96,26.58,89.4
249,6,1,9,2,3,55.8,48.04,44.03,103835.76,104087.25,0.24,19.12,97.04,41.78
250,8,4,7,5,1,68.89,73.51,63.47,49914.59,48980.46,-1.87,14.86,24.6,1.26
251,3,2,6,7,3,39.18,39.61,71.94,136830.97,139490.75,1.94,1.47,26.87,85.82
252,4,3,6,5,2,67.33,68.43,71.02,67722.01,76641.78,13.17,3.82,51.33,35.78
253,6,7,2,3,4,44.59,50.45,33.52,50851.39,55126.06,8.41,10.47,19.06,23.99
254,8,7,6,7,4,9.94,9.33,45.04,119859.16,134447.92,12.17,20.21,41.71,84.14
255,9,3,6,6,4,42.99,51.23,63.41,45151.77,39828.2,-11.79,16.88,71.77,6.96
256,3,3,1,5,2,12.24,13.98,22.72,130444.94,141810.57,8.71,-8.46,72.47,51.27
257,3,4,3,5,5,21.37,18.92,3.32,66473.57,69889.7,5.14,6.8,88.41,76.61
258,4,1,7,5,5,65.19,69.49,26.03,138863.4,148202.99,6.73,24.0,19.99,44.71
259,5,2,2,5,4,42.23,48.38,54.66,75648.07,71598.41,-5.35,4.09,76.59,91.81
260,3,3,2,6,2,19.6,22.41,29.22,139292.42,149583.49,7.39,11.15,11.62,96.28
261,9,2,4,4,3,60.87,56.11,82.94,63782.54,66125.2,3.67,23.38,18.69,24.19
262,10,8,7,6,1,25.87,25.55,30.13,101802.9,91076.11,-10.54,-5.68,76.89,4.81
263,7,8,1,6,3,73.2,83.52,66.78,101186.59,100129.7,-1.04,3.31,81.51,3.47
264,7,4,6,1,1,50.8,60.86,85.57,92573.48,83988.65,-9.27,7.38,18.45,90.96
265,3,3,7,1,3,46.84,53.01,87.9,98612.68,71955.38,-27.03,11.78,38.53,43.46
266,1,7,2,5,3,64.17,66.79,89.25,83205.6,96620.66,16.12,18.15,63.25,70.26
267,3,8,1,7,4,16.62,16.7,10.42,76141.36,92671.21,21.71,3.24,95.55,60.07
268,8,6,3,3,1,52.05,52.18,63.41,38511.87,35652.47,-7.42,-8.2,52.52,4.56
269,6,5,8,6,4,19.8,18.03,97.15,69761.64,59950.94,-14.06,4.17,64.97,28.07
270,2,3,1,7,5,39.49,39.75,0.55,30919.68,29963.62,-3.09,-2.52,82.23,57.2
